kode_kabupaten_kota,nama_kabupaten_kota,tahun,balita_gizi_kurang,balita_kurus,balita_pendek,jumlah_bayi_imunisasi_lengkap,jumlah_kasus_dbd,jumlah_kasus_diare,jumlah_pneumonia,jumlah_perkiraan_pneumonia,jumlah_balita_stunting
3201,KABUPATEN BOGOR,2019,20999,16179,86706,106221,1210,48589,7269,26985,18752
3201,KABUPATEN BOGOR,2020,21322,18572,40959,91204,1296,27155,3605,28128,34020
3201,KABUPATEN BOGOR,2021,16821,18913,32123,104246,2220,22928,3079,28034,30844
3202,KABUPATEN SUKABUMI,2019,8016,6641,11352,39340,616,35307,4506,11492,15583
3202,KABUPATEN SUKABUMI,2020,8838,6046,14154,38541,561,34601,4882,11502,14106
3202,KABUPATEN SUKABUMI,2021,6543,9301,14356,24806,272,30712,3053,27857,14347
3203,KABUPATEN CIANJUR,2019,8553,3570,10017,36562,643,21257,4243,10812,12761
3203,KABUPATEN CIANJUR,2020,9069,5594,12166,28027,684,24291,4176,10812,11680
3203,KABUPATEN CIANJUR,2021,5146,7602,7750,3033,430,6292,4636,22105,7768
3204,KABUPATEN BANDUNG,2019,12706,3954,15020,63568,2635,25114,7614,17174,19121
3204,KABUPATEN BANDUNG,2020,13728,6612,22338,57153,2303,14788,5345,16580,29581
3204,KABUPATEN BANDUNG,2021,9596,14062,4870,58162,2026,7605,3655,17087,20461
3205,KABUPATEN GARUT,2019,7718,3682,9255,45165,769,25711,8011,11780,9723
3205,KABUPATEN GARUT,2020,9128,5668,13568,40463,651,15916,5297,12181,13523
3205,KABUPATEN GARUT,2021,5150,8932,10009,32960,1011,10185,5297,12181,10027
3206,KABUPATEN TASIKMALAYA,2019,8865,2971,17254,29274,210,8763,3823,8143,17254
3206,KABUPATEN TASIKMALAYA,2020,9275,4616,19068,27256,179,6666,1772,7855,18952
3206,KABUPATEN TASIKMALAYA,2021,4606,8597,15175,27640,48,2200,2176,8111,15183
3207,KABUPATEN CIAMIS,2019,306,1613,614,17229,404,10627,5008,5492,4254
3207,KABUPATEN CIAMIS,2020,4810,2736,7688,17566,1457,9050,3104,5492,7688
