id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,26985,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11492,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10812,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17174,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,11780,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8143,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5492,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4993,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,10058,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5567,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5324,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11102,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,7037,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4453,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10100,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,12201,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7404,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2041,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,5069,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1593,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,11567,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,1475,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,13924,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,11120,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,2718,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3047,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,935,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,28128,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11502,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10812,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,16580,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,12181,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7855,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5492,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5022,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,10185,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5645,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5333,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11102,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,7037,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4490,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10952,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,12345,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7404,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2041,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,5139,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,1612,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,11567,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,1489,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,33206,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,2207,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,2709,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3353,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,935,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,28034,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27857,ORANG,2021
